node_number,X,Y,Z
396,168.5669755,-37.62329506,51.6
397,191.9881727,-20.11321769,51.6
398,187.3815282,-25.60320287,51.6
399,182.7748837,-31.09318804,51.6
400,45.05970846,103.1744025,51.6
401,52.40613168,97.01002149,51.6
402,59.75255489,90.84564048,51.6
403,67.0989781,84.68125947,51.6
404,74.44540132,78.51687846,51.6
405,81.79182453,72.35249745,51.6
406,89.13824775,66.18811644,51.6
407,96.48467096,60.02373543,51.6
408,103.8310942,53.85935442,51.6
409,111.1775174,47.69497341,51.6
410,118.5239406,41.5305924,51.6
411,125.8703638,35.36621139,51.6
412,133.216787,29.20183038,51.6
413,140.5632102,23.03744937,51.6
414,147.9096335,16.87306836,51.6
415,155.2560567,10.70868735,51.6
416,162.6024799,4.544306345,51.6
417,169.9489031,-1.620074664,51.6
418,177.2953263,-7.784455674,51.6
419,184.6417495,-13.94883668,51.6
420,20.63377929,112.0647137,51.6
421,37.68814814,108.022754,51.6
422,29.39718238,111.0404187,51.6
423,-29.36622071,112.0647137,51.6
424,10.63377929,112.0647137,51.6
425,0.633779293,112.0647137,51.6
426,-9.366220707,112.0647137,51.6
427,-19.36622071,112.0647137,51.6
428,-58.43622049,98.53786451,51.6
429,-37.57586952,111.1672967,51.6
430,-45.39775631,108.5174329,51.6
431,-52.46243403,104.2402821,51.6
432,-99.06999978,50.2717478,51.6
433,-64.2410461,91.64270498,51.6
434,-70.04587172,84.74754545,51.6
435,-75.85069733,77.85238592,51.6
436,-81.65552294,70.95722639,51.6
437,-87.46034856,64.06206686,51.6
438,-93.26517417,57.16690733,51.6
439,-108,25.79859695,51.6
440,-103.9395642,42.8897053,51.6
441,-106.9709578,34.58200636,51.6
442,-108,16.05857478,51.6
443,-108,6.318552611,51.6
444,-108,-3.42146956,51.6
445,-108,-13.16149173,51.6
446,-108,-22.9015139,51.6
447,-94.42592917,-61.75122491,41.6
448,53.14604905,-185.5788174,41.6
449,-87.04733026,-67.94260453,41.6
450,-79.66873135,-74.13398416,41.6
451,-72.29013243,-80.32536378,41.6
452,-64.91153352,-86.51674341,41.6
453,-57.53293461,-92.70812303,41.6
454,-50.1543357,-98.89950266,41.6
455,-42.77573679,-105.0908823,41.6
456,-35.39713788,-111.2822619,41.6
457,-28.01853897,-117.4736415,41.6
458,-20.63994006,-123.6650212,41.6
459,-13.26134115,-129.8564008,41.6
460,-5.882742236,-136.0477804,41.6
461,1.495856676,-142.23916,41.6
462,8.874455587,-148.4305397,41.6
463,16.2530545,-154.6219193,41.6
464,23.63165341,-160.8132989,41.6
465,31.01025232,-167.0046785,41.6
466,38.38885123,-173.1960582,41.6
467,45.76745014,-179.3874378,41.6
468,-97.41014332,-65.30767285,36.54627725
469,-95.28522728,-62.77529652,38.16874769
470,50.1618349,-189.1352653,36.54627725
471,-90.03154441,-71.49905247,36.54627725
